;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;geores;Agrement
22145;CINEMA REX;4,87943E+13;18 AV THIERS;24200;Sarlat-la-Canéda;44.88397,1.217455;
22146;GIRAUDET & ASSOCIES;8,23162E+13;PLACE DES HALLES;85400;Sainte-Gemme-la-Plaine;46.484297,-1.111991;
22147;CHEZ NONO;8,48887E+13;17 RUE IRENEE CARRE;8000;Charleville-Mézières;49.772757,4.718688;
22148;GAEC DE ST LAURENT;3,88044E+13;SAINT LAURENT;71250;Château;46.43259,4.619118;
22149;GUEIT;3,83984E+13;CHEMIN DU CHATEAU;30580;Fons-sur-Lussan;44.190355,4.328893;30113001
22150;CONSERVES DU SUD;7,90071E+13;Sautel;46230;Montdoumerc;44.294385,1.496826;46202003
22151;BIG M SAINT ETIENNE;9,01711E+13;91 RUE BERGSON;42000;Saint-Étienne;45.454967,4.382664;
22152;MADAME ELOISE COULANGES;3,84992E+13;874 B COPAYA II BAT B;97351;Matoury;4.845042,-52.32227;
22153;THAI CITY;8,03589E+13;281, RUE LECOURBE;75015;Paris 15e  Arrondissement;48.838265,2.288469;
22154;EARL MUNSCH;5,30238E+13;Ferme du Gresson Bas;68290;Oberbruck;47.824444,6.914354;68239001
22155;HEILLIG MARLON;8,14734E+13;2 ALL DE LA MALGRANGE;54140;Jarville-la-Malgrange;48.660965,6.193733;
22156;LE BARBE AMAELLE;8,84218E+13;hameau d'enfer;76430;Saint-Romain-de-Colbosc;49.535721,0.38564;
22157;TRANSPORT RENAUD;5,2658E+13;GOUTROLLES;17800;Pons;45.557967,-0.551674;
22158;LES CUISINES DES SOURCES;4,09016E+13;14 RUE DE THUMELART;59230;Saint-Amand-les-Eaux;50.447281,3.440943;59526101
22159;CRIEE DE FECAMP - COTE D'ALBATRE;5,28247E+13;Quai Sadi Carnot;76400;Fécamp;49.759275,0.379299;76259009
22160;KEUR BAYE NIASSE;4,83935E+13;GARE RER VAL DE FONTENAY;94120;Fontenay-sous-Bois;48.853376,2.487391;
22161;GAEC LA LINERIE;3,3243E+13;5 rue de la Linerie;8200;Sedan;49.685204,4.901007;
22162;SARL BOUCHERIE ANTHONY;4,04299E+13;5, rue du président Wilson;32300;Mirande;43.514744,0.404876;
22163;LE COURTOIS LAURENT;4,12117E+13;22 impasse Louis Loucheur;76370;Dieppe;49.925813,1.093811;
22164;L'ORAZIANO;5,10499E+13;123 BOULEVARD DE L HOPITAL;75013;Paris 13e  Arrondissement;48.835509,2.358842;
22165;BIHEL RAPHAEL;4,77934E+13;3, Place Alfred Rossel;50100;Cherbourg-en-Cotentin;49.639936,-1.617252;
22166;GAEC DE LA FORET DE SURVIE;3,80471E+13;BARBOT Henry-René;61310;Gouffern en Auge;48.773987,0.111504;
22167;BLANDINO BENJAMIN;4,53973E+13;91 AV JEAU JAURES;38400;Saint-Martin-d'Hères;;
22168;GIE AXA SERVICES FRANCE;3,51151E+13;81 RUE MSTISLAV ROSTROPOVITCH;75017;Paris 17e  Arrondissement;48.891731,2.309962;
22169;PIACENTINO JOSEPH;3,94202E+13;Le Logis Neuf;13190;Allauch;43.358067,5.487014;
22170;BOUCHERIE BASTIAISE;8,00069E+13;MONTICELLO;20220;Monticello;42.616697,8.940174;
22171;LA BOTTEGA;8,15084E+13;131 RUE DE VAUGIRARD;75015;Paris 15e  Arrondissement;48.844418,2.318103;
22172;ASIA BOX;5,00799E+13;232 COURS DE L YSER;33800;Bordeaux;44.820699,-0.57164;
22173;DIZIER PASCALE;3,97959E+13;HAMEAU DE LAURON;30580;Lussan;44.174505,4.375913;30151002
22174;EARL DEHILLOTTE THOMAS;3,97442E+13;244 Port du Canal;33470;Gujan-Mestras;44.640823,-1.070008;
22175;CAILLOCE ERIC;4,12908E+13;Rue des Courlis;56470;Saint-Philibert;47.583976,-2.997854;56233004
22176;TAPAS & MOOVE;8,79517E+13;16 RUE GENERAL PLESSIER;69002;Lyon 2e  Arrondissement;45.751133,4.826362;
22177;LE SANDRA;8,23403E+13;476 RTE DE LA SEDS;13127;Vitrolles;43.429752,5.272123;
22178;MAIRIE COMMUNE DE SAULCE SUR RHONE;2,12603E+13;3, chemin de la girarde;26270;Saulce-sur-Rhône;44.702577,4.803319;
22179;BURGER ET FILS;7,92935E+13;9 RUE DU COMMANDANT RIVIERE;75008;Paris 8e  Arrondissement;48.872655,2.308714;
22180;PIZZA SNACK FOOD;8,3501E+13;32 RUE DE GRENOBLE;59610;Fourmies;50.0145,4.053209;
22181;RESIDENCE DE MASSY;3,49186E+13;1 ALLEE DE MAIL HENRY DE VILMORIN;91300;Massy;48.727004,2.255973;
22182;LA CHEVRE QUI RIT;7,51892E+13;LA BARADEE;32320;Saint-Christaud;43.520572,0.270979;32367001
22183;GAEC DE L OUZOM;3,42114E+13;2, chemin de la Drague;64800;Asson;43.145131,-0.245424;64068101
22184;COTE NATURE;8,41225E+13;104 RUE DE SAINT LOUIS;68220;Hésingue;47.578001,7.533649;
22185;SUSHI PLUS;8,23898E+13;31 RUE VILLIOT;75012;Paris 12e  Arrondissement;48.841963,2.375812;
22186;LES HUITRES DE ROSTELLEC;4,00592E+13;ROSTELLEC;29160;Crozon;48.292455,-4.522147;29022500
22187;GAEC DES MANECHS;8,07991E+13;ROUTE DE FRANCAZAL;9160;Mauvezin-de-Prat;43.030534,0.994433;9183001
22188;TOYOTAKA;4,48369E+13;64 RUE SAINT DOMINIQUE;75007;Paris 7e  Arrondissement;48.85986,2.308638;
22189;SARL LA BONDE DE GATINE;3,94081E+13;LA FRAGNEE;79310;Verruyes;46.524769,-0.287388;79345001
22190;BENED DAVID;4,88713E+13;LOCUM;74500;Saint-Gingolph;;74237005
22191;GAEC DES PRES VERTS;8,2902E+13;LA CHASSAGNE;19330;Saint-Mexant;45.298256,1.682234;
22192;LO SCENARIO;8,09404E+13;78 RUE DU CHATEAU;75014;Paris 14e  Arrondissement;48.836731,2.318484;
22193;GAUDIN JACKY;4,09606E+13;50 RUE DES ABBESSES;75018;Paris 18e  Arrondissement;48.885641,2.3357;
22194;SUSHI49;7,5219E+13;CENTRE COMMERCIAL L ATOLL;49070;Beaucouzé;;
22195;LP AMEUBLEMENT;1,93101E+13;Plaine du Laudot;31250;Revel;43.463881,2.012262;
22196;LE SQUARE MARCADET;5,22497E+13;227 BIS RUE MARCADET;75018;Paris 18e  Arrondissement;48.892194,2.331475;
22197;AU CHALET DU BONHEUR;4,33086E+13;102 RUE DE MEAUX;75019;Paris 19e  Arrondissement;48.885165,2.380619;
22198;NATAL'AFFAIRES;8,18225E+13;3 RUE RAYMOND QUENEAU;93000;Bobigny;48.89591,2.425627;
22199;SAVEUR ET QUALITE;8,97393E+13;LIEUDIT LE HAUT ROCHER;61500;Chailloué;48.660735,0.221406;
22200;POISSONNERIE SCHALLER;5,17884E+13;75 BIS RUE DU GENERAL LECLERC;88190;Golbey;48.190848,6.415693;
22201;LE BARBICHE - LA REPLIQUE;8,10392E+13;12 RUE PIERRE FONTAINE;75009;Paris 9e  Arrondissement;48.8811,2.334666;
22202;ROYAL PIZZA;8,19169E+13;81 AV VICTOR HUGO;26000;Valence;44.926814,4.889383;
22203;LYCEE POLYVALENT FELIX MAYER;1,9572E+13;2, SQUARE GEORGES BASTIDE;57150;Creutzwald;49.199176,6.698265;
22204;ASS FAMILIALE FIUM ALTU;4,08419E+13;GROUPE SCOLAIRE;20213;Penta-di-Casinca;42.456029,9.495064;
22205;TENDANCE CREATIVE;5,05361E+13;POLE DU LANDREAU III;85130;Chanverrie;46.973418,-0.965049;
22206;30 32;8,2962E+13;30 BOULEVARD DE VAUGIRARD;75015;Paris 15e  Arrondissement;48.841508,2.317805;
22207;LA CABANE DES SAVEURS;8,50301E+13;853 CHE DES TRAVERSIERS;84210;Pernes-les-Fontaines;43.986126,5.067546;
22208;SD DISTRIB;8,88702E+13;19 RUE DES RENAUDES;75017;Paris 17e  Arrondissement;48.879929,2.298922;
22209;SAVORY KITCHENS;8,89839E+13;16 RUE DU MONT D'OR;69009;Lyon 9e  Arrondissement;45.774785,4.80704;
22210;CAFE DES ARTISTES;4,97989E+13;20, Avenue de l'Eglise;63500;Perrier;45.546652,3.19655;
22211;MONDIAL MARKET;8,93961E+13;35 RUE MARX DORMOY;75018;Paris 18e  Arrondissement;48.887023,2.359491;
22212;EURL BOUCHERIE MORSCHOLTZ;8,4279E+13;LIEUDIT LA GIRAUDIERE;69690;Brussieu;45.750838,4.541339;
22213;LE TIBET;8,81945E+13;10 PL AULAS DE LA BRUYERE;60300;Senlis;49.205716,2.584111;
22214;BOUNCOC;4,9871E+13;66 BOULEVARD DE PICPUS;75012;Paris;48.845274,2.402507;
22215;LES 4 PANS;4,8982E+13;7 PLACE DU COMMERCE LES CLOUZEAUX;85430;Aubigny-Les Clouzeaux;46.629099,-1.508731;
22216;JACQUES BOCKEL;8,37741E+13;1 RUE DES 30 JOURS;57685;Augny;49.078655,6.103284;
22217;COTESS;8,52591E+13;4 RUE RICCIOTTI;34500;Béziers;43.345319,3.21532;
22218;DERLYN LIONEL;3,11486E+13;60, Cours H Bellon;13990;Fontvieille;43.726982,4.71144;
22219;L'ENDROIT;8,11999E+13;67 PLACE DU DR FELIX L'OBLIGEOIS;75017;Paris 17e  Arrondissement;48.886306,2.318266;
22220;EARL TERROIR BIO;4,30129E+13;Le Tachy;47140;Penne-d'Agenais;44.375613,0.79951;47203017
22221;L'INDUSTRIE;7,5095E+13;1 AVENUE DE LA PTE DE MONTREUIL;75020;Paris 20e  Arrondissement;48.853776,2.411044;
22222;CENTRE DISTRIBUTEUR E.LECLERC;5,05378E+13;LE CHE BLANC;2800;Beautor;49.660982,3.345003;
22223;MORTREUX XAVIER;4,8282E+13;67 RUE SAINTE BARBE;59283;Raimbeaucourt;50.445595,3.089528;59489020
22224;MEIGNAN GUILLAUME;4,44847E+13;LE LOGIS DU PLESSIS;53200;Marigné-Peuton;47.866236,-0.820691;53145001
22225;RAPID'FRAIS;8,18932E+13;4 RUE BRETONNIE;3100;Montluçon;46.338323,2.602706;
22226;BOUCHERIE JANNA;8,30435E+13;415 RUE DE LA REPUBLIQUE;59430;Dunkerque;51.034178,2.331641;
22227;CAFE DE LA MAIRIE CAFE DE LA MAIRIE;7,94062E+13;1 PL DU DIX NEUF MARS 1962;69970;Chaponnay;45.626811,4.935459;
22228;LE CRISTAL;3,23803E+13;2 RUE DE MAZAGRAN;75010;Paris 10e  Arrondissement;48.870212,2.35128;
22229;HENAF;4,51333E+13;COMPLEXE DES BOUCHOLEURS;17340;Yves;;17483005
22230;BAGELSTEIN;8,03505E+13;35, RUE DE VAUGIRARD;75006;Paris;48.847973,2.330338;
22231;AF BOUCHERIE;8,93619E+13;286 RUE DE PARIS;94190;Villeneuve-Saint-Georges;48.746626,2.446543;
22232;PIZZERIA GRILL - PIZZERIA DU DÉSERT;4,1476E+13;1, Route d'Ardes sur Couze;63340;Saint-Germain-Lembron;45.457381,3.237928;
22233;GAEC DE VERPILLEUX;4,98109E+13;2158 ROUTE DES VIGNES;42800;Saint-Romain-en-Jarez;45.549149,4.548057;
22234;ANCIENNE PREF DE QUAIS DE L ISLE;8,2057E+13;7 RUE DE L ANCIENNE PREFECTURE;24000;Périgueux;45.181199,0.722921;
22235;SCEA DES ARGENTIERES;3,89111E+13;33 RUE NATIONALE;62150;Rebreuve-Ranchicourt;50.434692,2.558383;
22236;M.JELJELI BOUCHERIE DE LA LIBERTE;8,484E+13;6 PL DORIAN;42400;Saint-Chamond;45.475198,4.509007;
22237;DURU ARNAUD;8,5239E+13;14 RTE DE ST PIERRE CANIVET;14170;Épaney;48.947162,-0.170098;
22238;LE NOUVEAU DAKAR;8,23596E+13;70 B AV DU MAL DE LATTRE DE TASSIGNY;93140;Bondy;48.90284,2.482803;
22239;CESAR;4,9987E+13;12 AVENUE DE WAGRAM;75008;Paris;48.875805,2.296797;
22240;BRETWAY;9,00327E+13;2 RUE MICHELE MORGAN;91220;Brétigny-sur-Orge;48.580554,2.300671;
22241;COQUET ALAIN;3,83615E+13;CHEMIN DE MOIRY;69210;L'Arbresle;45.82197,4.648145;69112003
22242;BARBELENET JEAN;3,428E+13;LA BERGERIE;50770;Pirou;49.151982,-1.589752;50403001
22243;BRASSERIE DE L'EST;5,82133E+13;7 RUE DU 8 MAI 1945;75010;Paris 10e  Arrondissement;48.875978,2.358591;
22244;GAEC DU PETIT RU;4,37768E+13;Ferme de folle pensée;8220;Draize;49.655879,4.333253;8146007
22245;CICCIO PASTICCIO;8,92223E+13;28 RUE DES FRERES CHAPPE;72200;La Flèche;47.705893,-0.103043;
22246;SANDWICHERIE PLUS;5,37607E+13;335 RUE DE LA REPUBLIQUE;97116;Pointe-Noire;16.233947,-61.79005;
22247;LA PICCOLA SICILIA;3,80477E+13;79 AVENUE JEAN JAURES;75019;Paris 19e  Arrondissement;48.885085,2.378384;
22248;PHILIUS NATHALIE;8,07685E+13;LOT AGRICOLE WAYABO;97310;Kourou;5.008835,-52.622029;97304004
22249;TOTO';5,25204E+13;35 RUE GODOT DE MAUROY;75009;Paris 9e  Arrondissement;48.872268,2.327331;
22250;EARL DE PLAISANCE;4,35223E+13;32 LES AUVERGNATS;33910;Sablons;45.013729,-0.202328;
22251;L AVENUE;3,92324E+13;41 AV MONTAIGNE;75008;Paris 8e  Arrondissement;48.867309,2.306434;
22252;JARDIN D'ALIGRE;8,89515E+13;4 RUE D ALIGRE;75012;Paris 12e  Arrondissement;48.8479,2.377376;
22253;BAN'S;8,80934E+13;137 RUE ORDENER;75018;Paris 18e  Arrondissement;48.89303,2.339999;
22254;CARREFOUR MARKET;5,30676E+13;ROUTE DU QUEYRAS;5600;Guillestre;44.660893,6.652606;
22255;EARL DU LECAYA;4,93727E+13;16 ROUTE DU LAC;65350;Laslades;43.227865,0.169939;65265012
22256;LA FERME DU CHATEAU;8,29357E+13;10 chemin de la Barricade;4000;La Robine-sur-Galabre;44.175158,6.219413;
22257;DOMINO'S PIZZA;8,91846E+13;143 AV GEORGES CLEMENCEAU;14000;Caen;49.190687,-0.343199;
22258;RESTAUR INTER ENTREPRI PEREIRE DEBARCADE;3,90987E+13;10 RUE DU DEBARCADERE;75017;Paris 17e  Arrondissement;48.878019,2.286737;
22259;VIGNON FRANCINE;5,02556E+13;ND;3210;Châtillon;46.475368,3.133564;
22260;LE GARAGE;8,18679E+13;3 RUE DE L ISLE D OR;16100;Cognac;45.695719,-0.329059;
22261;BELLA PIZZA;8,77916E+13;22 RUE MONTGAUDIER;77890;Beaumont-du-Gâtinais;48.137334,2.475932;
22262;STYLE KEBAB;8,8514E+13;112 RUE DE LA MONTAT;42100;Saint-Étienne;45.4428,4.411907;
22263;GAEC LA FERME DES SAIGNES;4,50987E+13;294 ROUTE DE TRAPPELOUP;71800;Châtenay;46.293224,4.381019;71116001
22264;LES CLAIRES DE BONSONGE;4,10557E+13;LE LINDRON;17320;Marennes-Hiers-Brouage;45.817212,-1.099898;17219054
22265;MAIRIE COMMUNE LE MONTEIL AU VICOMTE;2,12313E+13;5 RUE DES ECOLES;23460;Le Monteil-au-Vicomte;45.930241,1.938326;
22266;CONEY FOOD;8,83053E+13;nan;69002;Lyon 2e  Arrondissement;45.758,4.835;
22267;LA FERME DUFRESNE;8,50918E+13;1 RTE DUFRESNE;76110;Angerville-Bailleul;49.665909,0.454103;
22268;KEVIN;8,28499E+13;215 RUE DE CRIMEE;75019;Paris 19e  Arrondissement;48.892231,2.374823;
22269;SOCIETE CIGALOISE DE CHEVILLE;3,18229E+13;Route d'Alès;30170;Saint-Hippolyte-du-Fort;43.903308,3.854874;30263001
22270;BERTHELOT MYRIAM MICHELE JEANNE;7,50747E+13;4 AV DU GEN LECLERC;18400;Saint-Florent-sur-Cher;;
22271;LE BISTROT DU THEATRE;8,48397E+13;29 RUE LAPORTE;69009;Lyon 9e  Arrondissement;45.777929,4.803263;
22272;SARL DUPONT;4,01421E+13;3, rue de Saint Pol;62270;Linzeux;50.344247,2.202431;62518030
22273;LA TABLE A FROMAGES;3,94713E+13;455, Chemin de la Pioline;13290;Aix-en-Provence;43.507032,5.408886;
22274;RULHES MARIE-CHRISTINE;4,2083E+13;Cauffeyt;15340;Puycapel;44.694356,2.307013;
22275;LES DELICES D'ORPHEE;5,25117E+13;1 RUE JEAN JAURES;97100;Basse-Terre;16.007689,-61.743942;
22276;WASH;3,50527E+13;7, RUE WASHINGTON;75008;Paris 8e  Arrondissement;48.872546,2.30197;
22277;CARREFOUR CITY;5,21737E+13;76 AVENUE GENERAL DE GAULLE;56100;Lorient;47.741382,-3.372626;
22278;LA MARINIERE;8,41615E+13;14 AV PAUL CLAUDEL;80000;Amiens;49.875537,2.277711;
22279;EXPLOITATION AGRICOLE;1,96108E+13;RUE DU 11 NOVEMBRE;61500;Sées;48.594414,0.171832;
22280;VASSEUR ANTOINE;4,52915E+13;256 RUE DE LA MAIRIE;60310;Laberlière;49.57741,2.760009;
22281;GAEC DU HAMEAU PILLET;4,88446E+13;HAMEAU PILLET;14100;Cordebugle;49.120541,0.390134;
22282;LA TABLE DU SUD;8,48298E+13;2 RUE PRINCIPALE;15290;Cayrols;44.831575,2.233351;
22283;EARL LONGUET;4,43422E+13;ZONE LOGIMER;50290;Bréville-sur-Mer;48.867518,-1.555321;50081110
22284;VAUBERNIER-FROMAGERIE DU BOIS BELLERAY;7,3575E+13;LE BOIS BELLERAY;53470;Martigné-sur-Mayenne;48.222832,-0.694001;53146001
22285;LA TEURGOULE DE CAMBREMER;5,38255E+13;LA TEURGOULE DE CAMBREMER;14340;Cambremer;49.126033,0.073239;14126014
22286;LES JARDINS DE HAUTEFONTAINE ET DE BETHANCOURT EN;8,02172E+13;2 GRANDE RUE;60350;Hautefontaine;49.365258,3.062948;
22287;HUITRES PAPYTAINE;8,43729E+13;LIEU DIT CORN ER PORH;56550;Locoal-Mendon;47.716058,-3.144777;56119029
22288;SALAMERIA CORSA ALBERTINI JOSIANE;8,3387E+13;nan;20215;Loreto-di-Casinca;42.476253,9.429974;
22289;RESTAURANT UNIVERSITAIRE;1,86706E+13;5 RUE ALFRED WERNER;68100;Mulhouse;47.745713,7.337021;68224046
22290;LE SAINT JAMES;8,47746E+13;27 RUE SAINT JAMES;24100;Bergerac;44.851214,0.483717;
22291;FALCOT LUC;4,52815E+13;2507 RN 8;13780;Cuges-les-Pins;43.276085,5.700958;
22292;LA BELLE ILOISE;3,88868E+13;15 RUE ST PLACIDE;75006;Paris 6e  Arrondissement;48.849263,2.325285;
22293;GALZIN RESTAURATION;8,45229E+13;ZONE ARTISANALE DE VERGONHAC;12100;Saint-Georges-de-Luzençon;44.074495,2.98803;12225002
22294;LE ZINC DU 16;5,12555E+13;58 RUE DE LA FAISANDERIE;75116;Paris 16e  Arrondissement;;
22295;BOUCHERIE CHARCUTERIE DAUJAT;7,50577E+13;244 RUE PROSPER CONVERT;1440;Viriat;46.253584,5.215938;
22296;IBIS;5,08618E+13;19 RUE DE TOLBIAC;75013;Paris 13e  Arrondissement;48.828983,2.374089;
22297;SARL DANIEL RESTAURATION;4,48833E+13;297, RUE DE CHARENTON;75012;Paris 12e  Arrondissement;48.834172,2.394324;
22298;CHEZ GENNARO;8,91579E+13;76 rue de Coulommes;77860;Quincy-Voisins;48.897834,2.884082;
22299;SA MONPOIX;3,26194E+13;3 RUE DU PARC;89340;Villeneuve-la-Guyard;48.333686,3.06844;89460001
22300;DELICES DU MAGHREB;8,32366E+13;12 B RUE DE TOURCOING;59100;Roubaix;50.699936,3.173968;
22301;MORVAN;4,22626E+13;28 Rue de Ty Jopic;29590;Pont-de-Buis-lès-Quimerch;48.284023,-4.115251;
22302;A VEAU PAPILLES;5,38938E+13;5, Avenue Mozart;72100;Le Mans;47.971044,0.210475;
22303;TK61;8,39043E+13;8 RUE DE L'INDUSTRIE;61800;Tinchebray-Bocage;48.764263,-0.731194;
22304;GUERRIDA EURL;8,52371E+13;44 RTE NATIONALE 6;69720;Saint-Bonnet-de-Mure;45.693024,5.030245;
22305;B.RABAH;8,32106E+13;27 RUE DE TOURCOING;59100;Roubaix;50.700055,3.173691;
22306;EARL LES HUITRES PRIVAT;3,83884E+13;nan;17320;Marennes-Hiers-Brouage;45.829391,-1.10353;17219113
22307;L'OSTERIA DU PRADO;7,88767E+13;L'OSTERIA DU PRADO;13006;Marseille 6e  Arrondissement;43.283726,5.384922;
22308;LE DARJEELING SARL J & J;4,81648E+13;7 ALLEE P. ORTAL;33680;Lacanau;45.001522,-1.200608;
22309;TRAITEUR LE 1984;8,79826E+13;6 RUE SIMON BOYER;42600;Montbrison;45.606743,4.066958;
22310;SOCIETE FROMAGERE D' ANNECY;4,80689E+13;Les Glaisins;74940;Annecy;45.908234,6.12765;74011060
22311;ETOILE;8,9443E+13;1 RUE DES PORTES BLANCHES;75018;Paris 18e  Arrondissement;48.891451,2.351533;
22312;L'ETOUYSIENNE;8,87593E+13;57 RUE DE CREVECOEUR;60600;Étouy;49.420091,2.360974;
22313;LES P'TITS CAILLOUX;8,38946E+13;LE FOREST;4340;Ubaye-Serre-Ponçon;44.439589,6.308392;4033001
22314;MAAREF MOKTAR;4,02489E+13;11 RUE EMILE GILBERT;75012;Paris 12e  Arrondissement;48.846635,2.373048;
22315;SALMOIKA;4,08718E+13;50 RUE HONORE RAVELLI;6580;Pégomas;43.581791,6.929854;6090014
22316;CHARCUTERIE LAMICHE;4,51769E+13;MARCHE EDGARD QUINET;75014;Paris 14e  Arrondissement;;
22317;CREPERIE LA CHAUMIERE;4,98875E+13;LA CHAUMIERE;56780;Île-aux-Moines;47.592282,-2.846515;
22318;O.S.L. SUPERETTE;9,04492E+13;5 RUE JEANNE D ARC;60800;Crépy-en-Valois;49.236088,2.887164;
22319;SERGE TARDIF;7,94911E+13;4 Avenue du General Leclerc;15130;Arpajon-sur-Cère;44.90071,2.459539;
22320;SNC POUJADE & CIE   LE BALZAC;4,23597E+13;29 AV DE FRIEDLAND;75008;Paris 8e  Arrondissement;48.874152,2.300586;
22321;CHEZ WONG;8,83709E+13;29 RUE DE VAUGIRARD;75006;Paris 6e  Arrondissement;48.848224,2.331214;
22322;COLLEGE FELIX LANDREAU;1,9491E+13;51 RUE JEAN JAURES;49000;Angers;47.457276,-0.523107;49007579
22323;SSR VAL ROSAY;4,2462E+13;37 CHEMIN FERRAND;69370;Saint-Didier-au-Mont-d'Or;45.799655,4.809407;
22324;SARL POLKA;3,91483E+13;RUE SCHOELCHER;97229;Les Trois-Îlets;14.539024,-61.034586;
22325;TOCHON FERDOLLET BEATRICE;5,01255E+13;1044 route de saint pierre favre;74450;Saint-Jean-de-Sixt;45.931397,6.405813;74239354
22326;S A VOLAILLES DU POHER;7,77521E+13;KERHERVE;29270;Cléden-Poher;48.248754,-3.64452;29029010
22327;LA PETITE CANTINE;8,44165E+13;28 AV FRANKLIN D ROOSEVELT;75008;Paris 8e  Arrondissement;48.872328,2.310213;
22328;LV FACTORY;8,11729E+13;7 AVENUE DU MESNIL;94210;Saint-Maur-des-Fossés;48.794689,2.514008;
22329;Le Borsalino;8,07779E+13;21 RUE DE JEMMAPES;57100;Thionville;49.359206,6.168032;
22330;FRANCESCA;8,22777E+13;RUE DU BUHLFELD;68125;Houssen;48.125056,7.368975;
22331;CHEVRERIE DES TOURNESOLS;3,99652E+13;1 RUE DE MORT MARE;54470;Flirey;48.876016,5.847276;
22332;JASSERON FREDERIC;4,29548E+13;118, Chemin du Pré de la Mare;74200;Allinges;46.330772,6.455601;74005004
22333;LE CLIP;4,31794E+13;LE CLIP;6200;Nice;43.712854,7.253866;
22334;TINO LE COMPTOIR;8,17981E+13;26 PL DU CHATEAU;31230;L'Isle-en-Dodon;43.38121,0.83657;
22335;C. MARQUERIE;8,04449E+13;50 RUE DE LA REPUBLIQUE;65600;Séméac;43.228375,0.104113;
22336;LA CLARENCE;8,91751E+13;36, RUE DE JAVOUHEY;97360;Mana;5.667831,-53.779389;
22337;CHAUD TIME;4,92504E+13;10, rue Emile Cheysson;44000;Nantes;47.213834,-1.546979;
22338;AJ2;8,28496E+13;240 RUE DU FAUBOURG SAINT ANTOINE;75012;Paris 12e  Arrondissement;48.849212,2.389526;
22339;FLORENT CLOVIS;5,24842E+13;52 CDD3;97600;Mamoudzou;-12.79441,45.213094;
22340;PORT DE PECHE DE LA COTINIERE;2,217E+13;Port de La Cotinière;17310;Saint-Pierre-d'Oléron;45.937113,-1.310631;17385010
22341;SHIVRAM SRI;4,80479E+13;Village Balaté;97320;Saint-Laurent-du-Maroni;5.480138,-54.041213;
22342;REST SCOLAI BRIENNE LA GENETTE JOUVENCON;3,12149E+13;MAIRIE;71290;La Genête;46.550694,5.044073;
22343;COLLEGE DES DOUITS;1,91418E+13;3, Rue de la Boderie;14700;Falaise;48.890721,-0.193832;
22344;CHICKEN FOOD;8,39177E+13;3 RUE DU SOUVENIR;77140;Nemours;48.267526,2.69875;
22345;EAU CANAL;8,23957E+13;1 AV EDOUARD VAILLANT;93500;Pantin;48.896244,2.40081;
22346;LES CONSERVES DUPUY;8,20102E+13;24 RUE DES AIRES;17370;Le Grand-Village-Plage;45.865161,-1.236665;17485001
22347;VERTIGO CAFE;8,40651E+13;20 BD DE PUYBLANC;19100;Brive-la-Gaillarde;45.156831,1.534273;
22348;LEZTROY SAVOY;8,15121E+13;ROUTE DES GRAVIERES;73310;Serrières-en-Chautagne;45.901345,5.836663;73286001
22349;GAEC DE BRETTE VIEILLE;4,20388E+13;49 IMPASSE DU FENASSOU;26340;Brette;44.59561,5.318326;
22350;LITTLE BURGER;7,91194E+13;14 RUE CHARLES TILLON;93300;Aubervilliers;48.915093,2.39244;
22351;OLA;4,80789E+13;12 BOULEVARD DE LA MER;17340;Châtelaillon-Plage;46.081514,-1.095808;
22352;PIERRE MAZUY ARTISAN CUISINIER;8,79096E+13;14 PL VICTOR HUGO;69170;Tarare;45.89827,4.433714;
22353;SAS DES VOLAILLES LEON DUPONT;4,8678E+13;2315 rte LES GARATERIES;85270;Notre-Dame-de-Riez;46.7649,-1.887184;85189001
22354;BOUCHERIE CHARCUTERIE FRANCOIS CHRI;4,82159E+13;26 bouelvard Gambetta;83460;Les Arcs;43.462139,6.47926;
22355;LA HAUTAISE;3,41538E+13;26, AVENUE DU SUD;50590;Hauteville-sur-Mer;48.969605,-1.558518;50231110
22356;MADAME GRACIELA MEDRANO MEZA;7,924E+13;116 AV AUGUSTE BOUDINOT L ANSE;97310;Kourou;5.175898,-52.649954;
22357;CAFE BAR BRASSERIE;7,52939E+13;63, AVENUE MOZART;75016;Paris 16e  Arrondissement;48.854085,2.269201;
22358;GAEC STE ANNE;3,92817E+13;LA GRANDE METAIRIE;49360;Maulévrier;46.995724,-0.722177;
22359;LACOSTE ALAIN;3,9905E+13;LES ALIX;46500;Rocamadour;44.803368,1.630315;46240003
22360;MCDONALD'S;4,8447E+13;ZAC des Ramilles;48000;Mende;44.517308,3.482383;
22361;"""BABA BEY"" ""MAKLOUB""";8,32408E+13;55 B BOULEVARD DU MONTPARNASSE;75006;Paris 6e  Arrondissement;48.844486,2.322696;
22362;LA POKETERIE;8,44751E+13;3 RUE DE PROVENCE;75009;Paris 9e  Arrondissement;48.873997,2.341843;
22363;EARL DES DIMES;4,0808E+13;LA GRANGE DES DIMES;36130;Coings;46.880879,1.708672;36057002
22364;D'ICI ET D'AILLEURS;8,31427E+13;12 C PLACE DU MARCHE;56190;Muzillac;47.553414,-2.484139;
22365;NOSTALGIQUE;8,78161E+13;9 B RUE SAINT JULIEN;61700;Domfront en Poiraie;48.593789,-0.649511;
22366;SARL BOUNICHOU;3,48147E+13;RUE GAMBETTA;24220;Saint-Cyprien;44.869141,1.043683;
