;SIRET;APP_Libelle_activite_etablissement
525;8,01768E+13;Boulangerie-Pâtisserie
526;8,14567E+13;Boulangerie-Pâtisserie
527;8,09985E+13;Boulangerie-Pâtisserie
528;8,02956E+13;_
529;8,14841E+13;Restaurant
530;8,10154E+13;Restaurant
531;8,03045E+13;Boulangerie-Pâtisserie
532;8,1495E+13;Boulangerie-Pâtisserie
533;8,10168E+13;Boulangerie-Pâtisserie
534;8,03109E+13;Restaurant
535;8,1497E+13;Alimentation générale
536;8,10347E+13;Restaurant
537;8,14995E+13;_
538;8,10408E+13;_
539;8,04249E+13;Boulangerie-Pâtisserie
540;8,15154E+13;Restaurant
541;8,11131E+13;Alimentation générale
542;8,15158E+13;Boulangerie-Pâtisserie
543;8,11804E+13;Alimentation générale
544;8,04618E+13;_
545;8,17826E+13;Boulangerie-Pâtisserie
546;8,12204E+13;Restaurant
547;8,0483E+13;Restaurant
548;8,18417E+13;Alimentation générale
549;8,12246E+13;Boucherie-Charcuterie
550;8,04921E+13;Restaurant
551;8,185E+13;Alimentation générale
552;8,12328E+13;Boulangerie-Pâtisserie
553;8,0524E+13;Restaurant
554;8,18789E+13;Restaurant
555;8,12441E+13;Boulangerie-Pâtisserie
556;8,07823E+13;Restaurant
557;8,19193E+13;Boulangerie-Pâtisserie
558;8,12826E+13;Boulangerie-Pâtisserie
559;8,07912E+13;Alimentation générale
560;8,20403E+13;Restaurant
561;8,0818E+13;Restaurant
562;8,20845E+13;Boulangerie-Pâtisserie
563;8,13207E+13;Boulangerie-Pâtisserie
564;8,08273E+13;Boulangerie-Pâtisserie
565;8,20988E+13;Restaurant
566;8,13549E+13;Boucherie-Charcuterie
567;8,08829E+13;Restaurant
568;8,22205E+13;Boulangerie-Pâtisserie
569;8,14092E+13;_
570;8,08858E+13;Boulangerie-Pâtisserie
571;8,22427E+13;Alimentation générale
572;8,14128E+13;Alimentation générale
573;8,10374E+13;_
574;8,14147E+13;Boucherie-Charcuterie
575;8,11253E+13;Restaurant
576;8,23588E+13;Alimentation générale
577;8,14466E+13;Boucherie-Charcuterie
578;8,11292E+13;Restaurant
579;8,23713E+13;Boulangerie-Pâtisserie
580;8,17435E+13;Restaurant
581;8,11385E+13;_
582;8,23795E+13;Restaurant
583;8,18032E+13;Alimentation générale
584;8,11571E+13;Restaurant
585;8,23929E+13;Restaurant
586;8,1841E+13;Boulangerie-Pâtisserie
587;8,11885E+13;Alimentation générale
588;8,24153E+13;Boulangerie-Pâtisserie
589;8,18712E+13;Restaurant
590;8,24241E+13;Restaurant
591;8,19198E+13;Alimentation générale
592;8,11961E+13;Restaurant
593;8,24263E+13;_
594;8,19236E+13;Boulangerie-Pâtisserie
595;8,12928E+13;Alimentation générale
596;8,25237E+13;_
597;8,19793E+13;Traiteur
598;8,13078E+13;Boulangerie-Pâtisserie
599;8,25403E+13;Boulangerie-Pâtisserie
600;8,20344E+13;Restaurant
601;8,13313E+13;Restaurant
602;8,27615E+13;Alimentation générale
603;8,20668E+13;Boulangerie-Pâtisserie
604;8,13564E+13;Boulangerie-Pâtisserie
605;8,27728E+13;Boucherie-Charcuterie
606;8,21091E+13;Restaurant
607;8,14386E+13;Boulangerie-Pâtisserie
608;8,28391E+13;Boulangerie-Pâtisserie
609;8,21288E+13;Restaurant
610;8,14652E+13;_
611;8,28897E+13;Restaurant
612;8,21739E+13;Boulangerie-Pâtisserie
613;8,14706E+13;Restaurant
614;8,28925E+13;Restaurant
615;8,14772E+13;Boulangerie-Pâtisserie
616;8,2903E+13;Restaurant
617;8,22505E+13;Boulangerie-Pâtisserie
618;8,14875E+13;Restaurant
619;8,22536E+13;Traiteur
620;8,14891E+13;Boulangerie-Pâtisserie
621;8,29288E+13;Restaurant
622;8,23113E+13;Alimentation générale
623;8,15054E+13;Restaurant
624;8,23578E+13;Restaurant
625;8,17611E+13;Poissonnerie
626;8,29565E+13;Restaurant
627;8,23585E+13;Restaurant
628;8,17783E+13;_
629;8,30329E+13;Alimentation générale
630;8,18222E+13;Restaurant
631;8,3048E+13;Boulangerie-Pâtisserie
632;8,24261E+13;Boulangerie-Pâtisserie
633;8,18375E+13;Boulangerie-Pâtisserie
634;8,30801E+13;Boulangerie-Pâtisserie
635;8,27515E+13;Boulangerie-Pâtisserie
636;8,18731E+13;Boulangerie-Pâtisserie
637;8,27547E+13;Restaurant
638;8,19261E+13;Alimentation générale
639;8,31379E+13;Boulangerie-Pâtisserie
640;8,2758E+13;Restaurant
641;8,31521E+13;Boulangerie-Pâtisserie
642;8,27712E+13;Boulangerie-Pâtisserie
643;8,19654E+13;Restaurant
644;8,3169E+13;Traiteur
645;8,27809E+13;Alimentation générale
646;8,19917E+13;Boulangerie-Pâtisserie
647;8,31892E+13;Alimentation générale
648;8,28072E+13;Boulangerie-Pâtisserie
649;8,20276E+13;Primeur
650;8,32078E+13;Boulangerie-Pâtisserie
651;8,28084E+13;Alimentation générale
652;8,20561E+13;Boulangerie-Pâtisserie
653;8,32083E+13;Boulangerie-Pâtisserie
654;8,28429E+13;Alimentation générale
655;8,20686E+13;Boulangerie-Pâtisserie
656;8,32141E+13;Boulangerie-Pâtisserie
657;8,28593E+13;Restaurant
658;8,20957E+13;Boulangerie-Pâtisserie
659;8,28605E+13;Boulangerie-Pâtisserie
660;8,21292E+13;Boulangerie-Pâtisserie
661;8,3238E+13;Boulangerie-Pâtisserie
662;8,21307E+13;Alimentation générale
663;8,32964E+13;Boulangerie-Pâtisserie
664;8,29111E+13;_
665;8,21811E+13;Boulangerie-Pâtisserie
666;8,33212E+13;_
667;8,29148E+13;Boucherie-Charcuterie
668;8,21901E+13;Boulangerie-Pâtisserie
669;8,33443E+13;Alimentation générale
670;8,29592E+13;Rayon boucherie-charcuterie
671;8,22025E+13;Boulangerie-Pâtisserie
672;8,33921E+13;Restaurant
673;8,29828E+13;Boulangerie-Pâtisserie
674;8,22326E+13;Restaurant
675;8,34651E+13;Boulangerie-Pâtisserie
676;8,29871E+13;_
677;8,22463E+13;Boulangerie-Pâtisserie
678;8,34697E+13;Boulangerie-Pâtisserie
679;8,30057E+13;Restaurant
680;8,23804E+13;Boulangerie-Pâtisserie
681;8,34701E+13;Restaurant
682;8,30218E+13;Boulangerie-Pâtisserie
683;8,24008E+13;Boulangerie-Pâtisserie
684;8,35096E+13;Restaurant
685;8,30262E+13;Restaurant
686;8,24282E+13;Restaurant
687;8,35275E+13;Restaurant
688;8,30532E+13;Boulangerie-Pâtisserie
689;8,30573E+13;Restaurant
690;8,2461E+13;Restaurant
691;8,37638E+13;Alimentation générale
