;SIRET;APP_Libelle_activite_etablissement
447;5,34842E+13;Restaurant
448;6,62014E+13;Alimentation générale
449;7,91552E+13;Primeur
450;5,37415E+13;Boucherie-Charcuterie
451;6,89802E+13;Boulangerie-Pâtisserie
452;7,91834E+13;Restaurant
453;5,37589E+13;Restaurant
454;6,92034E+13;Alimentation générale
455;7,91854E+13;Boulangerie-Pâtisserie
456;5,38622E+13;Boulangerie-Pâtisserie
457;7,50557E+13;Boulangerie-Pâtisserie
458;7,92015E+13;Restaurant
459;5,38779E+13;Alimentation générale
460;7,50657E+13;Restaurant
461;7,92484E+13;Boucherie-Charcuterie
462;5,38783E+13;Alimentation générale
463;7,50749E+13;Boulangerie-Pâtisserie
464;7,92581E+13;Alimentation générale
465;5,52083E+13;Alimentation générale
466;7,50813E+13;Restaurant
467;7,92907E+13;_
468;5,52083E+13;Alimentation générale
469;7,50911E+13;Boulangerie-Pâtisserie
470;7,93182E+13;Restaurant
471;5,62128E+13;Alimentation générale
472;7,51111E+13;Boulangerie-Pâtisserie
473;7,94019E+13;Boulangerie-Pâtisserie
474;6,32E+13;Alimentation générale
475;7,51633E+13;Boulangerie-Pâtisserie
476;7,49892E+13;Restaurant
477;7,52181E+13;Boulangerie-Pâtisserie
478;7,95182E+13;Boulangerie-Pâtisserie
479;7,49956E+13;Boulangerie-Pâtisserie
480;7,52431E+13;Alimentation générale
481;7,97468E+13;Rayon boucherie-charcuterie
482;7,50434E+13;Alimentation générale
483;7,52857E+13;Restaurant
484;7,98552E+13;Restaurant
485;7,53148E+13;Boulangerie-Pâtisserie
486;7,5335E+13;Boulangerie-Pâtisserie
487;7,988E+13;Boulangerie-Pâtisserie
488;7,53158E+13;Alimentation générale
489;7,53567E+13;Boulangerie-Pâtisserie
490;8,01092E+13;_
491;7,53593E+13;Restaurant
492;7,54014E+13;Boulangerie-Pâtisserie
493;8,01312E+13;Boulangerie-Pâtisserie
494;7,8494E+13;_
495;7,75609E+13;_
496;8,01645E+13;Chocolatier
497;7,8494E+13;_
498;8,01868E+13;Boulangerie-Pâtisserie
499;7,88748E+13;_
500;7,8494E+13;_
501;8,01941E+13;Restaurant
502;7,8914E+13;Rayon boucherie-charcuterie
503;7,8494E+13;_
504;8,02743E+13;Boucherie-Charcuterie
505;7,90259E+13;Boulangerie-Pâtisserie
506;7,8494E+13;_
507;8,03058E+13;_
508;7,90412E+13;Restaurant
509;7,88985E+13;Restaurant
510;8,03617E+13;Boulangerie-Pâtisserie
511;7,90467E+13;Restaurant
512;7,89297E+13;Restaurant
513;8,03654E+13;Restaurant
514;7,91657E+13;_
515;7,89453E+13;Restaurant
516;8,03856E+13;Boulangerie-Pâtisserie
517;7,92383E+13;Restaurant
518;7,8962E+13;Alimentation générale
519;8,03894E+13;Restaurant
520;7,93344E+13;Boulangerie-Pâtisserie
521;7,89822E+13;Boulangerie-Pâtisserie
522;8,0476E+13;Boulangerie-Pâtisserie
523;7,93535E+13;Restaurant
524;7,90796E+13;_
525;8,0481E+13;_
526;7,93588E+13;Restaurant
527;7,91594E+13;Restaurant
528;8,04992E+13;_
529;7,94454E+13;_
530;7,91798E+13;_
531;8,05208E+13;Boulangerie-Pâtisserie
532;7,95406E+13;Boulangerie-Pâtisserie
533;7,92432E+13;Boucherie-Charcuterie
534;8,08328E+13;Boulangerie-Pâtisserie
535;7,97542E+13;_
536;7,93347E+13;Boulangerie-Pâtisserie
537;8,08361E+13;Boulangerie-Pâtisserie
538;7,97754E+13;Alimentation générale
539;7,93542E+13;Restaurant
540;8,09505E+13;Boulangerie-Pâtisserie
541;7,98836E+13;Boulangerie-Pâtisserie
542;7,93887E+13;Alimentation générale
543;8,10281E+13;Boulangerie-Pâtisserie
544;7,9898E+13;Restaurant
545;7,94156E+13;Boulangerie-Pâtisserie
546;8,10446E+13;Boulangerie-Pâtisserie
547;7,99413E+13;Restaurant
548;7,94229E+13;Boulangerie-Pâtisserie
549;8,10912E+13;Boulangerie-Pâtisserie
550;7,99848E+13;Boulangerie-Pâtisserie
551;7,94541E+13;Boulangerie-Pâtisserie
552;8,11456E+13;Restaurant
553;8,00365E+13;Restaurant
554;7,95177E+13;Boulangerie-Pâtisserie
555;8,11789E+13;_
556;8,0129E+13;Restaurant
557;7,95318E+13;Restaurant
558;8,11869E+13;Boulangerie-Pâtisserie
559;8,01906E+13;Alimentation générale
560;7,97861E+13;_
561;8,12204E+13;_
562;8,04649E+13;_
563;7,9788E+13;Restaurant
564;8,12242E+13;_
565;8,0756E+13;Alimentation générale
566;7,98084E+13;Boulangerie-Pâtisserie
567;8,12611E+13;Boucherie-Charcuterie
568;8,0797E+13;_
569;7,9834E+13;Restaurant
570;8,1282E+13;Poissonnerie
571;8,08273E+13;Boulangerie-Pâtisserie
572;7,9844E+13;Restaurant
573;8,13141E+13;Boulangerie-Pâtisserie
574;8,08331E+13;Restaurant
575;7,98473E+13;Restaurant
576;8,13438E+13;Traiteur
577;8,09025E+13;Boulangerie-Pâtisserie
578;7,98686E+13;Boulangerie-Pâtisserie
579;8,13801E+13;Restaurant
580;8,09562E+13;Boulangerie-Pâtisserie
581;7,99695E+13;Alimentation générale
582;8,14169E+13;Boulangerie-Pâtisserie
583;8,09611E+13;Boulangerie-Pâtisserie
